CO2,Speed
746,7.82
746,9.23
746,10.98
746,13.89
746,12.53
746,16.53
746,15.22
746,18.18
747,20.24
747,19.48
747,20.59
747,20.43
747,20.46
747,20.58
747,20.6
747,20.62
747,20.15
747,20.53
557,21.14
557,20.57
628,2.82
557,20.13
557,19.96
557,21.63
557,21.31
611,31.03
611,30.75
611,31.43
611,31.23
613,31.1
745,14.06
615,31.27
745,14.5
612,30.81
745,14.87
613,30.84
745,15.25
745,15.75
745,15.89
615,31.26
745,16.02
615,31.29
557,19.57
557,19.3
745,13.66
557,19.18
745,13.73
557,18.93
745,13.89
558,17.64
558,16.68
558,16.51
558,16.48
558,18.53
558,18.4
558,18.05
615,31.37
615,31.52
615,31.4
615,31.29
615,31.35
615,30.58
745,17.06
615,30.3
745,17.33
615,31.29
745,17.57
615,30.92
745,17.93
745,18.16
745,18.86
615,30.1
558,16.32
745,16.21
558,16.13
745,16.5
558,16.28
745,16.67
745,16.77
607,31.46
607,31.46
607,31.48
744,20.23
607,31.6
744,19.58
607,31.48
744,19.02
607,31.71
744,18.53
607,31.86
744,17.52
607,32.14
607,31.88
607,31.9
745,18.99
745,19.27
745,19.68
745,19.87
744,19.88
611,32.08
611,32.19
611,32.1
611,32.48
611,32.31
611,32.35
611,32.05
611,31.74
611,32.23
611,32
751,30.42
751,30.42
625,23.65
625,23.72
625,23.99
625,24.49
625,25.05
625,25.29
625,25.72
625,25.92
625,25.87
625,26.07
751,29.26
751,29.27
751,29.53
751,29.84
751,29.86
751,29.89
751,29.97
751,30.02
753,30.79
625,21.59
625,21.96
625,22.24
625,22.67
746,6.29
625,22.96
625,23.08
625,23.3
746,4.06
625,23.51
625,23.43
625,23.52
751,30.63
751,30.69
751,30.78
752,30.84
752,31.17
753,31.12
753,31.06
753,30.99
753,30.96
582,15.61
582,16
582,15.89
582,15.89
746,3.16
625,20.23
625,20.34
625,21.02
746,7.88
625,20.69
625,20.63
746,8.19
625,20.66
625,21.04
746,7.81
625,21.22
625,21.3
746,8.98
582,16.17
625,21.57
582,16.42
582,16.15
582,16.03
582,16.41
582,16.59
746,6.11
628,5.58
582,16.85
584,15.08
584,14.78
582,16.9
582,17.4
582,17.17
582,17.01
584,15.3
746,10.24
584,15.53
584,15.8
628,4.56
584,16.15
584,14.45
584,14.57
628,4.91
584,14.86
584,15.17
627,22.5
745,12.21
627,21.41
745,12.87
627,21.04
745,13.13
627,21.28
745,12.72
627,21.11
745,12.53
627,20.79
745,12.67
627,20.68
745,13.25
627,20.35
745,13.42
582,17.44
627,20.35
582,17.79
627,20.29
582,17.45
582,17.54
582,17.43
746,10.94
746,11.64
750,25.58
750,26.54
750,28.11
751,29.66
751,30.36
751,30.73
747,19.51
747,18.47
747,19
747,17.51
747,17.94
747,17.24
747,17.23
747,16.82
747,16.96
747,17.02
750,25.72
750,26.6
750,25.59
750,25.56
751,30.56
751,30.51
751,30.46
751,30.46
751,30.59
747,16.13
747,16.81
747,14.83
747,15.45
747,13.74
747,14.42
747,12.39
747,13.12
747,12.58
747,12.46
751,30.41
751,30.46
751,30.52
751,30.66
751,30.79
751,30.13
751,29.98
751,29.85
751,29.33
747,12.19
747,11.29
625,25.18
747,11.65
625,25.43
747,11.29
625,25.34
747,11.1
625,25
747,12.23
625,25.23
747,11.96
625,25.47
747,12.09
624,25.6
747,12.3
624,26.03
624,26.47
747,12.1
624,26.65
751,30.48
751,30.51
751,30.51
751,30.48
751,30.43
751,30.41
751,29.75
751,29.42
751,29.36
747,12.04
747,11.88
747,12.25
747,12.18
625,25.82
747,12.58
625,25.56
747,12.49
625,25.54
747,12.55
625,24.99
747,12.85
625,24.76
747,11.7
625,24.29
747,12.17
625,24.23
625,24.02
625,23.92
625,24.58
751,29.68
751,30.01
751,30.36
751,29.75
751,29.41
751,29.61
751,30.1
585,13.85
564,25.5
585,13.7
564,25.46
585,13.58
585,13.29
564,25.41
585,15.79
564,25.29
734,8.05
585,15.08
564,25.34
635,21.29
585,14.29
564,25.34
635,21.05
734,9.66
564,25.18
635,20.95
564,25.26
635,20.61
734,8.04
564,25.3
635,20.28
564,25.3
635,20.06
734,7.66
585,13.34
635,20.06
585,13.38
635,19.96
585,13.51
635,20.06
635,20.19
734,9.12
586,29.34
586,29.3
586,29.26
586,29.57
586,29.67
562,1.92
736,29.9
586,29.55
736,29.69
736,29.77
586,28.02
736,29.8
586,28.46
736,30.17
586,29.02
736,29.91
732,29.63
733,29.42
728,29.65
732,29.5
565,26.44
565,26.35
565,26.12
565,26.46
565,26.26
635,23.18
564,25.76
635,23.07
564,25.74
635,22.96
564,25.9
635,22.61
564,25.88
635,22.5
635,22.05
635,22.05
564,25.53
635,21.72
635,21.61
635,21.41
588,25.38
588,27.73
728,29.73
660,10.45
588,27.16
588,26.76
728,29.66
588,26.16
728,30.15
586,29.06
728,30.31
587,28.56
728,29.76
660,8.49
728,30.73
587,28.09
728,29.97
660,9.7
728,30.73
728,31.06
660,6.31
728,30.97
660,7.45
564,25.1
564,24.95
564,25.19
564,25.23
660,9.34
564,24.72
635,22.72
563,24.65
635,22.51
564,24.87
635,22.17
564,24.88
635,21.74
635,21.75
635,21.64
575,19.16
563,24.83
635,21.65
575,18.34
563,24.86
635,21.66
635,21.6
635,21.74
576,12.35
576,11.25
576,10.66
576,12.05
575,17.44
728,31.2
657,10.86
575,17.18
728,30.95
575,15.17
727,30.78
576,14.33
727,30.75
727,31.51
658,10.55
727,30.54
657,11.19
727,30.76
657,11.21
727,31.08
657,10.95
727,30.61
727,30.96
660,8.11
658,9.6
564,25.3
564,25.28
657,10.44
564,25.24
657,10.62
564,25.35
564,25.34
635,20.33
564,25.27
635,20.7
564,25.26
635,21.21
564,25.26
635,21.43
576,1.71
635,21.77
564,25.34
635,21.59
564,25.34
635,21.93
635,22.05
635,22.38
635,22.5
576,18.24
585,26.43
585,26.69
586,27.01
557,10.73
586,27.53
584,27.11
557,8.96
584,26.97
584,26.52
557,7.16
557,6.42
657,11.84
657,12.22
657,12.79
584,27.04
657,12.23
657,10.75
557,4.38
657,10.86
657,10.91
657,11.47
583,17.01
583,17
584,16.56
584,16.64
584,16.96
583,16.57
583,16.74
583,16.56
583,16.42
584,17.23
736,9.96
584,17.09
584,17.09
584,17.23
736,9.98
584,17.58
736,9.53
584,17.45
736,10.43
584,17.44
736,10.24
736,8.45
588,25.77
588,25.62
583,16.67
588,26.04
583,16.92
588,25.83
583,16.83
588,25.78
588,25.54
588,25.95
583,16.42
584,17.21
738,31.48
583,15.79
584,17.1
738,31.45
584,17.06
583,16.63
584,17.18
738,31.28
583,14.64
583,14.19
583,15.24
583,14.83
585,18.38
736,9.12
585,18.55
736,8.28
584,17.54
735,9.67
584,17.9
585,18.02
735,9.39
585,18.25
735,9.31
583,14.33
740,30.32
583,14.03
739,30.41
583,14.2
740,30.5
738,31.15
739,30.88
738,31.52
738,31.15
583,14.29
585,18.31
738,28.74
583,14.43
585,18.21
738,28.92
583,14.27
585,17.97
583,14.23
585,17.76
583,14.43
565,27.24
583,14.17
565,27.12
735,8.88
583,14.45
565,26.84
583,14.43
585,18.48
565,26.92
585,17.44
565,26.95
635,24.62
565,26.81
635,24.39
735,9.23
565,27.04
635,24.51
565,27.1
635,24.29
735,9.23
585,17.41
635,24.07
585,17.37
635,23.85
735,6.83
585,17.43
565,26.61
635,23.85
585,17.42
565,26.59
635,23.95
735,8.44
588,24.09
635,23.84
635,23.72
588,23.91
588,23.76
588,23.85
588,23.89
588,24.86
738,31.02
588,24.46
738,31.16
583,13.86
588,24.3
738,30.43
583,13.8
588,23.99
738,30.87
738,29.89
738,30.31
738,29.4
588,25.18
738,29.51
583,14.67
585,16.72
584,15.01
585,16.64
736,29.43
583,14.24
585,16.53
583,14.39
585,16.43
584,15.55
734,6.38
584,15.62
584,15.27
585,17.2
584,15.53
585,17.03
734,8.45
734,7.22
585,16.39
734,9.85
583,14.1
585,16.47
585,16.47
734,9.5
585,16.3
588,24.84
588,24.99
588,25.22
737,28.53
588,25.49
588,24.33
736,28.61
588,24.38
737,28.56
584,15.39
736,29.16
588,24.39
736,28.86
736,29.27
736,29.06
588,24.17
736,29.54
588,24.07
736,28.98
563,25.35
563,25.51
563,25.1
563,25.19
635,21.82
563,25.63
635,21.97
563,25.23
635,21.75
563,25.67
635,21.87
563,25.67
635,21.89
635,22.36
635,22.75
563,25.07
635,22.88
635,23.3
635,23.52
563,24.94
590,21.65
590,21.7
590,21.85
590,21.87
590,21.72
590,21.86
590,21.6
568,30.72
568,30.64
568,30.32
568,28.98
568,30.37
568,29.97
568,30.21
568,29.85
568,30.55
568,30.62
590,21.51
590,21.3
590,21.21
591,22.63
591,22.34
591,22.18
591,21.82
591,21.72
591,21.68
568,27.9
568,28.26
568,29.93
568,30.45
568,28.59
568,29.64
568,27.08
568,28.08
568,28.63
568,28.86
591,21.55
591,21.51
591,21.65
591,21.57
549,21
549,20.44
549,20.11
591,23.6
549,19.73
591,23.7
549,19.31
591,23.66
549,18.83
591,23.56
549,18.61
591,23.77
549,18.01
567,24.62
549,17.73
567,24.37
567,25.06
567,24.78
567,25.39
567,24.79
567,24.77
567,24.82
567,24.46
567,24.72
591,23.57
580,6.56
591,23.57
591,23.53
579,6.2
591,23.37
591,22.86
580,6.84
549,17.21
580,6.58
549,16.55
549,16.44
549,16.09
549,15.49
579,4.83
549,15.32
549,14.96
549,15.2
550,15.23
550,14.81
568,28.33
568,27.55
568,28.81
568,28.36
567,25.59
567,25.48
567,26.04
567,25.78
568,27.35
567,26.09
580,0
589,24.39
589,24.43
589,24.86
589,25.34
589,25.77
589,26.13
589,26.06
589,26.1
589,23.83
589,24.09
580,6.16
580,6.52
580,4.13
580,2
589,20.89
589,21.36
589,21.77
589,22.24
589,22.72
589,23.06
589,23.44
589,23.74
569,27.43
589,20.52
568,27.64
568,27.47
568,27.39
568,26.6
568,27.64
568,27.35
568,27.39
568,27.19
589,23.64
568,27.79
590,20.94
590,20.87
590,20.72
590,20.59
590,20.44
589,20.26
589,20.29
589,20.22
589,20.14
589,20.25
737,7
737,8.07
737,7.04
736,9.67
736,9.16
652,11.63
549,10.46
652,11.52
549,11.34
652,11.92
549,12.3
549,12.25
549,11.75
549,11.8
549,11.32
549,13.45
549,17.59
652,14.42
652,14.2
652,13.94
652,13.21
652,14.57
652,15.66
652,14.73
549,20.72
652,13.85
549,21.7
652,14
549,22.21
652,13.45
549,22.59
652,12.84
549,23.31
549,23.41
549,23.19
549,22.68
567,25.56
549,22.38
567,25.54
549,21.95
567,25.33
567,25.49
567,25.1
567,25.18
567,26.15
567,26.28
567,25.77
567,26
649,13.14
649,13.56
652,12.23
652,12.12
652,12.31
549,21.33
650,12.48
647,14.5
647,14.67
647,14.82
549,15.82
647,14.56
549,15.9
549,16.03
549,15.57
549,14.97
647,14.41
549,13.81
549,12.71
549,11.62
549,11.53
549,11.4
647,13.87
647,14.41
647,14.27
647,14.23
647,14.62
549,11.14
549,10.69
549,9.99
549,9.68
549,9.75
549,9.97
549,9.57
572,18.16
572,20.09
572,45.14
572,22.29
572,23.45
572,22.66
572,22.03
572,23.56
572,22.44
571,24.11
571,23.04
571,23.18
571,23.05
572,23.38
571,22.91
571,22.42
571,23.13
571,23.39
571,22.89
712,19.32
625,0.96
710,20.05
712,19.54
712,19.47
712,19.36
712,19.42
710,19.77
710,19.98
712,19.66
712,19.79
708,19.57
708,19.31
708,18.25
708,17.94
708,18.92
708,18.53
708,18.02
708,17.81
708,17.7
708,18
594,25.2
594,25.39
594,25.95
594,24.72
594,24.82
594,24.92
594,25.06
594,24.64
576,10.39
587,6.6
560,24.96
745,30.95
560,25.41
745,31.36
576,12.72
587,7.69
560,25.75
745,31.52
576,11.64
560,25.85
745,31.46
587,10.59
559,24.09
587,11.28
559,24.29
587,9.11
560,24.52
560,24.85
745,30.81
595,25.19
745,30.67
595,25.09
595,25
559,23.35
575,28.49
559,23.66
595,23.39
745,31.44
595,23.83
745,31.08
595,24.34
745,30.83
595,24.9
745,30.89
574,28.23
603,30.7
720,18.71
595,22.61
574,28.27
603,30.56
720,19.27
595,23.09
573,28.25
603,31.02
720,17.63
595,23.24
573,28.23
603,30.98
720,18.17
575,28.42
603,30.62
778,30.17
575,28.5
603,30.84
778,30.28
575,28.11
603,30.42
778,30.2
720,19.72
575,28.32
603,30.56
778,30.31
576,14.69
778,30.61
576,14.24
778,30.79
720,14.59
587,11.62
603,30.83
778,30.43
603,31.13
778,30.18
576,13.66
573,28.12
720,16.33
576,13.25
720,16.94
576,13.71
778,30.95
720,14.97
576,13.71
778,30.84
720,15.59
576,15.03
560,26.86
745,29.95
576,15.26
587,6.08
560,26.75
745,29.54
576,13.54
560,26.98
745,29.36
576,14.33
587,6.78
745,29.15
560,26.41
587,6.94
560,26.64
576,15.03
560,26.64
745,30.47
587,6.3
560,26.86
745,30.05
594,24.21
594,24.39
560,26.18
560,26.18
560,26.19
594,23.8
745,28.98
594,23.89
605,31.37
745,28.69
594,23.92
746,28.63
594,24.11
746,28.47
595,24.75
575,29.49
607,31.4
778,31.17
716,19.28
594,23.41
575,29.42
607,31.17
716,19.03
594,23.11
575,28.94
605,31.29
718,19.56
594,23.66
575,29.18
605,31.24
717,19.44
575,30.38
607,31.27
783,31.5
575,30.17
607,31.28
778,31.5
575,29.95
607,31.11
778,31.28
575,29.9
607,31.17
778,31.06
795,31.5
720,20.05
795,31.5
720,20.37
607,31.23
789,31.5
587,7.76
786,31.62
576,12.43
575,28.96
720,19.85
576,12.77
575,28.44
718,19.66
576,11.18
720,20.19
576,11.87
795,31.62
720,20.2
558,18.1
558,18.65
558,19.02
625,0.97
558,19.77
594,19.52
558,16.39
558,16.51
558,16.92
558,17.26
594,17.8
594,18.54
573,28.62
594,19.06
573,28.75
594,18.96
573,28.75
594,16.35
594,16.63
594,17.19
594,17.7
573,28.19
795,32.07
716,18.09
573,28.2
795,31.62
573,28.13
716,18.48
594,16.13
716,18.17
573,28.62
795,31.73
573,28.52
795,31.95
573,28.39
795,31.84
573,28.37
795,31.84
795,31.3
716,18.65
795,31.52
716,18.69
795,31.63
795,31.73
716,18.87
559,20.43
716,18.55
559,21.22
716,18.41
716,18.74
716,18.5
559,23.15
559,23.21
559,23.35
559,23.22
559,22.48
559,22.9
559,22.92
559,23.02
594,21.3
594,21.77
595,22.1
573,28.32
595,22.05
573,27.77
559,22.1
594,20.93
594,20.83
594,20.84
594,20.83
573,28.61
816,31.5
573,28.62
811,31.28
594,20.41
573,28.59
811,31.44
712,18.88
594,20.5
573,28.75
712,19.1
573,28.23
827,31.84
573,28.32
827,31.85
573,28.3
827,31.73
573,28.36
827,31.62
714,17.45
827,31.85
713,17.82
827,31.73
716,17.68
576,0.38
827,31.73
714,17.5
559,23.35
712,18.69
712,18.86
712,18.08
712,18.43
587,6.62
587,7.03
742,27.22
587,3.74
742,27.1
742,27.1
742,27.19
743,27.4
587,7.91
742,27.28
742,27.12
587,8.46
742,27.27
742,27.1
571,21.73
571,21.97
571,21.7
571,21.62
571,22.77
743,27.62
571,22.71
571,22.34
571,22.75
571,21.71
587,13.49
587,12.76
587,13.77
743,27.72
587,13.73
