No,Latitude,Longitude,Altitude,Speed,Date,Time ?Wrong?,Actual Time,,
1,38.988449,-76.93693,5.4,0,1/21/2021,8:44:17 PM,3:44:17 PM,,
2,38.988477,-76.93682,5.3,2,1/21/2021,8:44:22 PM,3:44:22 PM,,
3,38.988509,-76.936683,5.1,4.13,1/21/2021,8:44:25 PM,3:44:25 PM,,
4,38.988533,-76.936544,4.8,6.16,1/21/2021,8:44:27 PM,3:44:27 PM,,
5,38.98855,-76.936395,4.4,6.52,1/21/2021,8:44:29 PM,3:44:29 PM,,
6,38.988564,-76.936238,4.1,6.84,1/21/2021,8:44:31 PM,3:44:31 PM,,
7,38.988583,-76.936088,4,6.58,1/21/2021,8:44:33 PM,3:44:33 PM,,
8,38.988593,-76.935937,3.8,6.56,1/21/2021,8:44:35 PM,3:44:35 PM,,
9,38.988601,-76.935794,3.7,6.2,1/21/2021,8:44:37 PM,3:44:37 PM,,
10,38.988612,-76.935627,3.7,4.83,1/21/2021,8:44:40 PM,3:44:40 PM,,
11,38.988606,-76.935501,3.5,0.12,1/21/2021,8:46:10 PM,3:46:10 PM,,
12,38.988613,-76.93537,2.7,2.84,1/21/2021,8:46:14 PM,3:46:14 PM,,
13,38.988619,-76.935224,1.9,6.33,1/21/2021,8:46:16 PM,3:46:16 PM,,
14,38.988663,-76.935054,1.3,7.75,1/21/2021,8:46:18 PM,3:46:18 PM,,
15,38.988762,-76.934925,0.9,7.84,1/21/2021,8:46:20 PM,3:46:20 PM,,
16,38.988916,-76.934831,0.7,9.49,1/21/2021,8:46:22 PM,3:46:22 PM,,
17,38.989008,-76.934783,0.6,11.05,1/21/2021,8:46:23 PM,3:46:23 PM,,
18,38.989101,-76.934731,0.6,11.29,1/21/2021,8:46:24 PM,3:46:24 PM,,
19,38.989197,-76.934681,0.5,11.53,1/21/2021,8:46:25 PM,3:46:25 PM,,
20,38.989291,-76.934626,0.4,11.5,1/21/2021,8:46:26 PM,3:46:26 PM,,
21,38.989387,-76.934571,0.3,11.7,1/21/2021,8:46:27 PM,3:46:27 PM,,
