Major,Course_id,Section,Building,Classroom,Section_days,Start_time,End_time,Students_number
AASP,AASP297,0101,TLF,1102,TuTh,2:00pm,3:15pm,0
AAST,AAST498Q,0101,CSI,1121,Tu,5:00pm,7:30pm,14
ANSC,ANSC103,0101,ANS,0108,M,10:00am,11:50am,19
ANSC,ANSC103,0102,ANS,1144,Tu,2:00pm,3:50pm,17
ANSC,ANSC245,0101,ANS,1144,M,1:00pm,2:50pm,10
ANSC,ANSC245,0102,ANS,1144,Th,1:00pm,2:50pm,10
ANSC,ANSC260,0102,ANS,0108,F,10:00am,12:00pm,10
ANSC,ANSC359,0101,CHE,2110,Tu,3:30pm,5:30pm,4
ANSC,ANSC436,0101,IRB,1116,TuTh,9:30am,10:45am,10
ANSC,ANSC440,0101,MMH,1400,TuTh,9:30am,10:45am,14
ANSC,ANSC688J,0101,MMH,1400,TuTh,9:30am,10:45am,6
ANTH,ANTH240,0201,ASY,2203,F,1:00pm,1:50pm,25
ANTH,ANTH240,0202,TWS,0310,F,2:00pm,2:50pm,25
ANTH,ANTH240,0203,TWS,0320,F,3:00pm,3:50pm,24
ANTH,ANTH451,0101,ASY,2203,TuTh,2:00pm,3:15pm,18
ANTH,ANTH498Y,0101,SKN,0104,F,9:00am,6:00pm,0
ANTH,ANTH606,0102,ESJ,1309,Tu,2:00pm,4:45pm,1
ANTH,ANTH651,0101,ASY,2203,TuTh,2:00pm,3:15pm,1
AOSC,AOSC432,0101,CSI,1121,Th,9:30am,10:45am,20
AOSC,AOSC432,AM01,CSI,1121,Th,9:30am,10:45am,0
AOSC,AOSC434,0101,CHE,2110,MWF,12:00pm,12:50pm,2
ARHU,ARHU318A,0101,BPS,1250,W,4:00pm,5:15pm,8
ARHU,ARHU320,0101,ASY,2203,F,2:00pm,4:30pm,28
ARMY,ARMY202,0102,ARM,0126,TuTh,2:00pm,3:15pm,35
ARMY,ARMY302,0101,ARM,0126,TuTh,11:00am,12:15pm,26
ARMY,ARMY302,0101,ARM,0126,Th,4:00pm,6:00pm,26
ARMY,ARMY302,0101,ARM,0126,MWF,6:30am,7:30am,26
ARMY,ARMY402,0101,ARM,0126,MW,12:30pm,1:45pm,15
ARMY,ARMY402,0101,ARM,0135,Th,4:00pm,6:00pm,15
ARMY,ARMY402,0101,ARM,0135,MWF,6:30am,7:30am,15
ARSC,ARSC101,0101,ESJ,2208,Tu,9:00am,9:50am,13
ARSC,ARSC101,0102,ARM,0126,Th,9:00am,9:50am,40
ARSC,ARSC101,0103,ARM,0135,Th,1:00pm,1:50pm,15
ARSC,ARSC201,0101,ARM,0126,Th,10:00am,10:50am,49
ARSC,ARSC201,0102,ESJ,0215,Th,2:00pm,2:50pm,10
ARSC,ARSC201,0103,ARM,0135,Tu,10:00am,10:50am,6
ARSC,ARSC301,0101,ESJ,1202,Th,9:00am,12:00pm,20
ARSC,ARSC301,0102,ARM,0126,TuTh,12:30pm,2:00pm,16
